職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
韌體工程師 新竹總部,全職,8 / 10,48,經常,7 年,"1,900,000 / 年",824 元,2018.06
軟體測試工程師 ,全職,8 / 12,60,幾乎每天,3 年,"65,000 / 月",270 元,2018.04
數位IC設計工程師 ,全職,8 / 8.5,44,偶爾,1 年,"1,400,000 / 年",658 元,2018.05
韌體工程師 ,全職,8 / 12,60,幾乎每天,6 年,"2,200,000 / 年",761 元,2018.05
軟體工程師 ,全職,8 / 9.5,46,偶爾,-,"1,500,000 / 年",678 元,2018.04
類比IC設計工程師 新竹,全職,8.5 / 10,50,偶爾,-,"2,000,000 / 年",830 元,2018.03
資深工程師 ,全職,8 / 10,60,經常,5 年,"2,000,000 / 年",683 元,2018.02
實習生 ,實習,8 / 8,40,幾乎不,-,"30,000 / 月",187 元,2017.09
研發助理 ,約聘雇,8 / 8,16,幾乎不,-,250 / 小時,250 元,2017.06
資深工程師 ,全職,8 / 11,50,幾乎每天,6 年,"100,000 / 月",502 元,2018.02
硬體工程師 新竹,全職,8 / 9,50,偶爾,2 年,"1,600,000 / 年",659 元,2017.03
數位IC設計工程師 ,全職,8 / 7,40,偶爾,10 年,"2,850,000 / 年",1464 元,2016.11
軟體工程師 ,全職,8 / 12,55,幾乎每天,2 年,"2,500,000 / 年",950 元,2017.05
資深工程師 ,全職,8 / 10,50,經常,6 年,"2,500,000 / 年",1037 元,2017.04
數位IC設計工程師 總部,全職,8 / 9,44,偶爾,11 年,"3,000,000 / 年",1417 元,2017.04
硬體測試工程師 ,約聘雇,8 / 8,40,幾乎不,-,250 / 小時,250 元,2017.04
軟韌體工程師 台北內湖,全職,8 / 9,45,經常,-,"76,000 / 月",420 元,2017.03
軔體工程師 ,全職,8.5 / 12,56,幾乎每天,7 年,"100,000 / 月",447 元,2017.03
軟體設計工程師 新竹總部,全職,8 / 10,48.5,經常,-,-,,2017.02
軟韌體工程師 新竹總部,全職,8 / 8,40,幾乎不,-,"76,000 / 月",473 元,2017.02
應用工程師 ,,8 / 12,60,幾乎每天,-,-,,2016.07
演算法開發工程師 ,,8 / 8,46,偶爾,-,-,,2016.07
